,Price,Quantity
1992,-1.13331645263,21.7202011821
1993,-1.09293716311,21.8430551348
1994,-1.2410829255,21.9562536099
1995,-1.2875438826,22.0505900405
1996,-1.43031998265,22.1733945488
1997,-1.38870478,22.2971132075
1998,-1.36926341819,22.2706619342
1999,-1.48702537922,22.3959897412
2000,-1.5294184681,22.4522868615
2001,-1.87187137569,22.5125911784
2002,-1.85738027895,22.5065501884
2003,-2.02652430045,22.6185638118
2004,-2.10681474963,22.5942674806
2005,-2.79824309095,23.1828403084
2006,-2.84481053993,23.2663187009
2007,-2.79511231394,23.0941429134
2008,-3.00065333471,23.1854736014
2009,-3.18139090375,23.1053125191
2010,-3.94263436015,23.085666762
2011,-4.05401944099,23.0674233287
2012,-3.91983057911,23.1880763863
