,Price,Quantity
1992,0.139771106023,13.226941387
1993,0.0257399005981,13.3380375019
1994,0.0172303506851,13.4869787128
1995,-0.00360095434296,13.6942498572
1996,-0.171064019682,13.616139684
1997,-0.145908849893,13.2910253994
1998,-1.11331454665,14.4824723748
1999,-0.57437694356,13.7596193409
2000,-0.487437859809,12.8013644099
2001,-0.793753971009,13.4904505534
2002,-1.99541220807,14.7214030147
2003,-1.98214947804,15.4897806984
2004,-2.14058845447,15.1181480005
2005,-2.39927484945,15.601480299
2006,-2.118947965,15.5466009877
2007,-2.38996963562,15.7448405847
2008,-2.24117783274,15.8618066844
2009,-2.43638491896,15.6629371259
2010,-2.35201194263,15.6142120422
2011,-2.74666987431,15.5150090771
2012,-3.01120482056,15.0581527697
