,Price,Quantity
1993,0.52600745445,12.0914527269
1994,0.4151397425,12.5921000597
1995,0.329913589552,13.1311466909
1996,0.160948656954,13.4152165566
1997,-0.0443714302498,12.7012839986
1998,-0.269022509488,12.2815650161
1999,-0.323236882235,12.8854023023
2000,-1.51113698137,12.1736062704
2001,-0.763718638264,13.4809758431
2002,-1.91727089218,14.254617384
2003,-2.1694758682,16.7919773379
2004,-2.34290187217,14.7725619705
2005,-2.33389420913,14.8813306794
2006,-2.1623041422,15.2370999078
2007,-2.65533237882,15.6055138193
2008,-2.77327061395,16.4079988299
2009,-2.45135370369,15.5891907441
2010,-2.50873496774,15.5497060605
2011,-2.55298840156,15.6090324732
2012,-2.56635561202,15.6562660432
