,Price,Quantity
1992,-0.0115925355554,16.8243788253
1993,-0.0660276401948,16.9369499882
1994,-0.161211172035,17.0773587804
1995,-0.250945239468,17.1633795583
1996,-0.360614535833,17.2906965118
1997,-0.554624485013,17.4050507213
1998,-0.84793480556,17.4312077075
1999,-0.783943262389,17.5676778374
2000,-0.784796069883,17.2724854764
2001,-1.32633359529,18.0570967445
2002,-1.51544997676,17.8655329969
2003,-1.92010038672,18.1280147122
2004,-2.31249124418,18.4267363915
2005,-2.24581748236,18.2378125778
2006,-2.43246188008,18.1453192472
2007,-2.55450511628,18.1366318502
2008,-2.54250845052,18.0813582993
2009,-2.61363851937,18.0972952353
2010,-2.59359899651,17.6591264703
2011,-2.52503602693,17.4897496379
2012,-2.65657381901,17.4455271671
