,Ratio,Price,Quantity
1992,-0.167317434509,-0.459891151227,18.026560835
1993,-0.212175611478,-0.378119513112,18.1067662026
1994,-0.289068210409,-0.283912421785,18.2897884031
1995,-0.377395491929,-0.229223187422,18.4082023111
1996,-0.697690114776,-0.0488757039994,18.7145029993
1997,-0.966792820379,-0.765674503985,18.9670071725
1998,-1.14401449641,-0.215673191834,19.1091535868
1999,-1.24036720464,-0.191983828189,19.2846355244
2000,-1.42917263547,-0.358479524311,19.2624082142
2001,-1.5867048735,0.200159175069,19.1051426767
2002,-1.680757312,-0.229100656089,19.3757741093
2003,-1.96585677455,-0.0866641999031,19.2704293659
2004,-2.07103789176,0.137446778408,19.3275011132
2005,-2.2997902937,-0.190465548314,19.3532499791
2006,-2.64289474814,-0.309563979286,19.4513838416
2007,-2.82847740588,-0.304438826,19.5482028509
2008,-2.65726430981,-0.292038663746,19.4083234973
2009,-2.55029326275,0.240844614873,19.2724709188
2010,-2.87658043421,-0.0032212920037,18.8189920512
2011,-3.01453691814,0.378429180016,18.8901701035
2012,-2.87417575316,0.467833299575,18.7122698938
