,Ratio,Price,Quantity
1992,1.25311114651,0.227388301643,10.6318329437
1993,0.767758044351,0.197010009519,10.0587376278
1994,0.143684244631,1.42331768061,8.56693528331
1995,0.621548620012,-2.17653937196,7.08506429395
1996,1.1589754384,-9.8542739654,5.4161004022
1997,0.659312131511,-13.815510558,8.0426994969
1998,-2.00749876927,8.15059296393,12.9380847067
1999,-1.93811185148,7.26846270652,12.9314231867
2000,-1.14064975014,4.24527447653,13.2632429559
2001,-0.820613502423,2.62383302767,13.2955752333
2002,-1.59086328818,2.45916274726,16.5724076835
2003,-1.9056462092,4.24581494476,18.0219878227
2004,-2.14213450267,2.69569756953,18.2732520989
2005,-1.60594333703,2.58103634735,18.2887436911
2006,-1.65848753688,2.28607553568,18.6380463873
2007,-1.80191406778,1.93370128687,18.5552801923
2008,-1.88804983031,1.58936004943,18.9582582342
2009,-1.72968636068,1.07598799393,18.6066688042
2010,-1.77504140596,0.591873452949,18.3318649727
2011,-2.03110413485,0.664635024549,18.1798325742
2012,-1.9136980984,0.868775924142,17.7331781229
