,Ratio,Price,Quantity
1992,0.00557706839426,0.428513778451,18.1837642547
1993,-0.0589280796757,0.659682254357,18.429704953
1994,-0.195359110745,0.751481433549,18.7151479949
1995,-0.221947711975,1.2123307607,19.0957763661
1996,-0.417843199755,1.81062125112,19.4294570921
1997,-0.41699888816,1.2880629729,19.4498792011
1998,-0.6129461689,1.08700696814,19.4261753116
1999,-0.693510395294,1.06817723119,19.4068892155
2000,-0.882406864116,0.296722154319,19.0859694302
2001,-1.61246814962,1.31166653472,19.8719076181
2002,-1.31511182088,0.260841818,18.7067288572
2003,-1.9817080225,0.73029873738,19.9520311719
2004,-2.59074278452,1.10018915073,20.3319554411
2005,-2.8941510867,1.15338526785,20.3859096063
2006,-2.87847608291,1.31343279396,20.4765512051
2007,-3.11950082522,1.43740461781,20.424760369
2008,-3.29460450225,1.4241337596,20.4842043143
2009,-3.0435982811,1.52654770037,20.2066238291
2010,-3.18105183947,1.18632791887,20.0346722709
2011,-3.45994930239,1.37968158676,20.2091726773
2012,-2.8391954601,0.857979903952,19.7032916185
